2024-05-21 00:12:54,959 - ObjectDetectionLogger - INFO - Model path: models/yolov8s.pt
2024-05-21 00:12:56,733 - ObjectDetectionLogger - INFO - Model loaded. Cuda available: True
2024-05-21 00:12:56,828 - ObjectDetectionLogger - INFO - Region of interest points loaded successfully. Num points: 5
2024-05-21 00:13:00,774 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.0946e-01, 1.3755e-04, 6.7762e-01, 3.6324e-01])
2024-05-21 00:13:00,774 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:00,775 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:00,781 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:00,784 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5049, 0.0582, 0.5486, 0.2248])
2024-05-21 00:13:00,784 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:00,785 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:00,785 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:00,909 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.0966e-01, 1.2859e-04, 6.7750e-01, 3.6332e-01])
2024-05-21 00:13:00,910 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:00,911 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:00,911 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:00,918 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5049, 0.0585, 0.5507, 0.2255])
2024-05-21 00:13:00,920 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:00,920 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:00,922 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:00,986 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1022e-01, 1.4003e-04, 6.7755e-01, 3.6332e-01])
2024-05-21 00:13:00,987 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:00,988 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:00,988 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:00,995 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5043, 0.0583, 0.5505, 0.2257])
2024-05-21 00:13:00,996 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:00,998 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:00,999 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:01,078 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1027e-01, 1.1409e-04, 6.7739e-01, 3.6343e-01])
2024-05-21 00:13:01,078 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,079 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,080 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
