2024-05-21 00:58:31,351 - ObjectDetectionLogger - INFO - Model path: models/yolov8s.pt
2024-05-21 00:58:33,130 - ObjectDetectionLogger - INFO - Model loaded. Cuda available: True
2024-05-21 00:58:33,142 - ObjectDetectionLogger - INFO - Region of interest points loaded successfully. Num points: 5
2024-05-21 00:58:40,390 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([319.9714,  57.9091, 367.0164, 211.7242])
2024-05-21 00:58:40,393 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:40,394 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:40,420 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:40,500 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([315.3676,  60.0909, 366.6791, 212.1330])
2024-05-21 00:58:40,501 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:40,502 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:40,503 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:40,733 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([323.6244,  61.2661, 366.5051, 212.3515])
2024-05-21 00:58:40,734 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:40,735 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:40,736 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:40,793 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([301.6306,  60.0366, 366.3102, 222.8638])
2024-05-21 00:58:40,794 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:40,795 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:40,796 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:40,849 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([317.8477,  59.3607, 366.3387, 223.2634])
2024-05-21 00:58:40,850 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:40,851 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:40,852 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:40,907 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([313.7956,  59.6831, 364.5053, 221.3242])
2024-05-21 00:58:40,908 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:40,908 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:40,909 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:40,963 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([309.3268,  59.6888, 362.0405, 221.0215])
2024-05-21 00:58:40,964 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:40,965 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:40,966 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:41,021 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([304.9673,  63.3346, 357.1958, 222.3559])
2024-05-21 00:58:41,022 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,022 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,023 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:41,077 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([301.8434,  64.1999, 353.9686, 222.5424])
2024-05-21 00:58:41,078 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,079 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,079 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:41,132 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([295.0699,  65.5271, 351.9224, 219.1586])
2024-05-21 00:58:41,133 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,133 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,134 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:41,187 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([289.5013,  65.6104, 349.1371, 221.9974])
2024-05-21 00:58:41,188 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,188 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,189 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:41,241 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([292.0887,  66.1370, 347.0773, 218.1101])
2024-05-21 00:58:41,241 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,242 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,242 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:41,298 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([290.3708,  65.4651, 345.2305, 218.2065])
2024-05-21 00:58:41,298 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,299 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,300 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:41,357 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([288.1302,  63.8952, 341.5508, 217.0009])
2024-05-21 00:58:41,358 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,359 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,360 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:41,417 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([284.1572,  63.6110, 339.0508, 216.2720])
2024-05-21 00:58:41,418 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,419 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,420 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:41,474 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([278.1867,  63.1717, 336.1208, 225.9706])
2024-05-21 00:58:41,475 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,476 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,477 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:41,537 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([272.4568,  66.7985, 331.9528, 225.8589])
2024-05-21 00:58:41,538 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,538 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,539 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:41,542 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([337.7423,  70.8064, 367.0320, 192.6309])
2024-05-21 00:58:41,543 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,544 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,545 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:41,597 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([266.7971,  70.0824, 327.0448, 224.3078])
2024-05-21 00:58:41,598 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,599 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,600 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:41,602 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([338.3970,  70.4718, 367.0911, 207.2784])
2024-05-21 00:58:41,604 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,604 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,605 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:41,660 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([338.8217,  57.3935, 367.5120, 210.0533])
2024-05-21 00:58:41,661 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,662 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,663 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:41,665 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([261.4265,  72.7160, 322.1259, 259.1064])
2024-05-21 00:58:41,666 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,667 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,668 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 13.00%
2024-05-21 00:58:41,723 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([257.6982,  73.6191, 318.2617, 278.2722])
2024-05-21 00:58:41,724 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,725 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,726 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 18.00%
2024-05-21 00:58:41,728 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([335.1572,  55.6057, 367.3129, 216.7563])
2024-05-21 00:58:41,729 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,730 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
